name,tensor_type,input_size,forward_avg,forward_avg_impr,backward_avg,backward_avg_impr,forward_mb_avg,forward_mb_avg_impr,backward_mb_avg,backward_mb_avg_impr
triton_4_ea1b9b_2D_grid_2,TensorType.WEIGHTS,"[128, 2048]",1.54,-65%,1.43,-58%,0.0022,-13%,0.0034,-40%
triton_4_ea1b9b_2D_grid_2,TensorType.WEIGHTS,"[2048, 128256]",3.31,29%,3.98,36%,1.9757,-0%,3.4317,-40%
triton_5_507d96_opt_2D_grid,TensorType.ACTIVATIONS,"[128, 2048]",1.53,-46%,1.4,-46%,0.002,-0%,0.0035,-38%
triton_5_507d96_opt_2D_grid,TensorType.ACTIVATIONS,"[2048, 128256]",2.92,38%,7.11,83%,1.9786,-0%,3.4334,-40%
triton_5_507d96_opt_2D_grid,TensorType.WEIGHTS,"[128, 2048]",1.5,-61%,1.4,-55%,0.0022,-13%,0.0034,-40%
triton_5_507d96_opt_2D_grid,TensorType.WEIGHTS,"[2048, 128256]",2.81,40%,7.13,-14%,1.9757,-0%,3.4317,-40%
triton_5_507d96_opt_2D_grid_2,TensorType.ACTIVATIONS,"[128, 2048]",1.62,-55%,1.45,-51%,0.002,-0%,0.0035,-38%
triton_5_507d96_opt_2D_grid_2,TensorType.ACTIVATIONS,"[2048, 128256]",3.04,36%,7.14,83%,1.9786,-0%,3.4334,-40%
triton_5_507d96_opt_2D_grid_2,TensorType.WEIGHTS,"[128, 2048]",1.61,-72%,1.45,-60%,0.0022,-13%,0.0034,-40%
triton_5_507d96_opt_2D_grid_2,TensorType.WEIGHTS,"[2048, 128256]",2.94,37%,7.3,-17%,1.9757,-0%,3.4317,-40%
triton_6_f24fcb_sep_activ,TensorType.ACTIVATIONS,"[128, 2048]",1.9,-82%,1.89,-98%,0.002,-0%,0.0035,-38%
triton_6_f24fcb_sep_activ,TensorType.ACTIVATIONS,"[2048, 128256]",3.16,33%,9.22,78%,1.9786,-0%,3.4334,-40%
triton_6_f24fcb_sep_activ,TensorType.WEIGHTS,"[128, 2048]",1.83,-96%,1.87,-106%,0.0022,-13%,0.0034,-40%
triton_6_f24fcb_sep_activ,TensorType.WEIGHTS,"[2048, 128256]",3.3,29%,7.18,-15%,1.9757,-0%,3.4317,-40%
triton_7_7bdc9f_no_loop_2D_grid_weights,TensorType.ACTIVATIONS,"[128, 2048]",1.67,-60%,1.46,-52%,0.002,-0%,0.0035,-38%
triton_7_7bdc9f_no_loop_2D_grid_weights,TensorType.ACTIVATIONS,"[2048, 128256]",2.83,40%,7.11,83%,1.9786,-0%,3.4334,-40%
triton_7_7bdc9f_no_loop_2D_grid_weights,TensorType.WEIGHTS,"[128, 2048]",1.65,-77%,1.46,-62%,0.0022,-13%,0.0034,-40%
triton_7_7bdc9f_no_loop_2D_grid_weights,TensorType.WEIGHTS,"[2048, 128256]",2.76,41%,4.37,30%,1.9757,-0%,3.4317,-40%
triton_8_2f166b_best_perf_2D_grid,TensorType.ACTIVATIONS,"[128, 2048]",1.66,-59%,1.49,-56%,0.002,-0%,0.0035,-38%
triton_8_2f166b_best_perf_2D_grid,TensorType.ACTIVATIONS,"[2048, 128256]",3.31,30%,4.38,89%,1.9786,-0%,3.4334,-40%
triton_8_2f166b_best_perf_2D_grid,TensorType.WEIGHTS,"[128, 2048]",1.56,-67%,1.45,-60%,0.0022,-13%,0.0034,-40%
triton_8_2f166b_best_perf_2D_grid,TensorType.WEIGHTS,"[2048, 128256]",3.32,29%,4.04,35%,1.9757,-0%,3.4317,-40%
triton_9_61cbc8_best_perf_2D_grid_1kernel,TensorType.ACTIVATIONS,"[128, 2048]",1.49,-43%,1.39,-45%,0.002,-0%,0.0035,-38%
triton_9_61cbc8_best_perf_2D_grid_1kernel,TensorType.ACTIVATIONS,"[2048, 128256]",2.84,40%,4.37,89%,1.9786,-0%,3.4334,-40%
triton_9_61cbc8_best_perf_2D_grid_1kernel,TensorType.WEIGHTS,"[128, 2048]",1.44,-54%,1.39,-54%,0.0022,-13%,0.0034,-40%
triton_9_61cbc8_best_perf_2D_grid_1kernel,TensorType.WEIGHTS,"[2048, 128256]",2.75,41%,4.0,36%,1.9757,-0%,3.4317,-40%
triton_a97638,TensorType.WEIGHTS,"[2048, 128256]",2.99,36%,7.53,-20%,1.9757,-0%,3.4317,-40%
